image_path,instance_selected_mask_agree,instance_top_changed,instance_top_query_agree,pair,pred_logits_max_abs,pred_logits_rel,pred_masks_max_abs,pred_masks_rel,presence_max_abs,presence_rel,semantic_changed_margin,semantic_changed_ratio,semantic_max_abs,semantic_pixel_agree,semantic_rel
data/Potsdam/img_dir/val/2_13_0_3072_512_3584.png,0.9999879598617554,0,1.0,A_vs_B,1.77734375,0.29777486910989776,71.75,0.32613636363636217,0.01171875,0.0019633507853399853,0.017045455053448677,0.0001326195924775675,0.375,0.9998673796653748,0.012499999999999584
data/Potsdam/img_dir/val/2_13_0_3072_512_3584.png,0.9969135522842407,1,0.8333333134651184,A_vs_C,1.0,0.16753926701567873,57.75,0.2624999999999988,0.015625,0.00261780104711998,0.0078125,7.233796350192279e-05,0.375,0.9999276399612427,0.012499999999999584
data/Potsdam/img_dir/val/2_13_0_3584_512_4096.png,0.9998472929000854,0,1.0,A_vs_B,2.8125,0.5027932960892956,41.875,0.2928321678321658,0.015625,0.005181347150257349,0.012839577160775661,0.00053047836991027,0.5,0.999469518661499,0.01197604790419133
data/Potsdam/img_dir/val/2_13_0_3584_512_4096.png,0.9998251795768738,0,1.0,A_vs_C,0.703125,0.1256983240223239,38.875,0.271853146853145,0.001953125,0.0006476683937821687,0.014701224863529205,0.00044608410098589957,0.4375,0.999553918838501,0.010479041916167412
data/Potsdam/img_dir/val/2_13_0_4096_512_4608.png,0.999947726726532,0,1.0,A_vs_B,1.34375,0.2443181818181374,45.5,0.3116438356164362,0.015625,0.0041493775933598934,0.010105486027896404,0.005473572760820389,0.3125,0.9945264458656311,0.009881422924900874
data/Potsdam/img_dir/val/2_13_0_4096_512_4608.png,0.9999276399612427,0,1.0,A_vs_C,1.34375,0.2443181818181374,41.0,0.28082191780821725,0.015625,0.0041493775933598934,0.010325169190764427,0.004460840951651335,0.25,0.9955391883850098,0.007905138339920698
data/Potsdam/img_dir/val/2_13_0_4608_512_5120.png,0.999915599822998,0,1.0,A_vs_B,2.5,0.47619047619038546,55.0,0.3571428571428548,0.03125,0.00537634408602058,0.007041529752314091,0.0002290702104801312,0.25,0.9997709393501282,0.008733624454148168
data/Potsdam/img_dir/val/2_13_0_4608_512_5120.png,0.9999457597732544,0,1.0,A_vs_C,2.203125,0.4196428571427772,45.59375,0.2960633116883098,0.0078125,0.001344086021505145,0.0056966147385537624,0.00021701389050576836,0.25,0.9997829794883728,0.008733624454148168
data/Potsdam/img_dir/val/2_13_0_5120_512_5632.png,0.999943733215332,0,1.0,A_vs_B,0.84375,0.17088607594933247,39.125,0.2698275862068947,0.03125,0.0074626865671623965,0.03926757723093033,0.000602816347964108,0.296875,0.9993971586227417,0.018410852713177155
data/Potsdam/img_dir/val/2_13_0_5120_512_5632.png,0.999961793422699,0,1.0,A_vs_C,1.171875,0.23734177215185065,37.75,0.2603448275862051,0.0078125,0.0018656716417905991,0.024458451196551323,0.0003978587919846177,0.189453125,0.9996021389961243,0.011749031007751211
data/Potsdam/img_dir/val/2_13_0_512_512_1024.png,0.9984326958656311,0,1.0,A_vs_B,1.265625,0.24107142857138264,81.5,0.47941176470587954,0.001953125,0.0003676470588234602,0.008854166604578495,0.0003616898029576987,0.28125,0.9996383190155029,0.012228260869564687
data/Potsdam/img_dir/val/2_13_0_512_512_1024.png,0.9992485046386719,0,1.0,A_vs_C,1.2734375,0.2425595238094776,64.75,0.38088235294117423,0.001953125,0.0003676470588234602,0.007371471729129553,0.000373746152035892,0.25,0.9996262788772583,0.010869565217390832
data/Potsdam/img_dir/val/2_13_0_5488_512_6000.png,0.9999216198921204,0,1.0,A_vs_B,0.75,0.12499999999997917,70.9375,0.4299242424242398,0.03125,0.005347593582886785,0.007102272938936949,0.0001326195924775675,0.375,0.9998673796653748,0.012295081967212712
data/Potsdam/img_dir/val/2_13_0_5488_512_6000.png,0.9999397397041321,0,1.0,A_vs_C,0.890625,0.14843749999997527,50.25,0.30454545454545273,0.01171875,0.0020053475935825444,0.009114583022892475,0.00014467592700384557,0.4375,0.9998553395271301,0.014344262295081497
data/Potsdam/img_dir/val/2_13_1024_0_1536_512.png,0.9993329048156738,0,1.0,A_vs_B,1.578125,0.33443708609264433,43.65625,0.27806528662420205,0.03125,0.006944444444442901,0.007901872508227825,0.002700617304071784,0.390625,0.9972993731498718,0.01407657657657607
data/Potsdam/img_dir/val/2_13_1024_0_1536_512.png,0.9993408918380737,0,1.0,A_vs_C,1.65625,0.35099337748336934,68.5,0.43630573248407367,0.03125,0.006944444444442901,0.004387170076370239,0.002399209188297391,0.28125,0.997600793838501,0.01013513513513477
data/Potsdam/img_dir/val/2_13_1024_1024_1536_1536.png,0.9996664524078369,0,1.0,A_vs_B,2.046875,0.4145569620252325,136.75,0.5945652173913017,0.015625,0.0031847133757955293,0.007979081012308598,0.0077039930038154125,0.3125,0.9922959804534912,0.009842519685039061
data/Potsdam/img_dir/val/2_13_1024_1024_1536_1536.png,0.9997287392616272,0,1.0,A_vs_C,2.015625,0.4082278481011831,136.75,0.5945652173913017,0.015625,0.0031847133757955293,0.004712768830358982,0.00619695195928216,0.3125,0.9938030242919922,0.009842519685039061
data/Potsdam/img_dir/val/2_13_1024_1536_1536_2048.png,0.999943733215332,0,1.0,A_vs_B,1.4375,0.24083769633503818,80.75,0.49845679012345373,0.015625,0.004405286343611092,0.0,0.0,0.5,1.0,0.007042253521126662
data/Potsdam/img_dir/val/2_13_1024_1536_1536_2048.png,0.9999196529388428,0,1.0,A_vs_C,1.421875,0.2382198952879182,52.5,0.32407407407407207,0.015625,0.004405286343611092,0.0,0.0,0.75,1.0,0.010563380281689993
data/Potsdam/img_dir/val/2_13_1024_2048_1536_2560.png,0.9999377131462097,0,1.0,A_vs_B,2.875,0.4946236559138934,40.75,0.3087121212121189,0.03125,0.006097560975608566,0.005829782225191593,0.0003978587919846177,0.625,0.9996021389961243,0.015337423312883059
data/Potsdam/img_dir/val/2_13_1024_2048_1536_2560.png,0.9999236464500427,0,1.0,A_vs_C,2.96875,0.5107526881719552,45.25,0.3428030303030277,0.015625,0.003048780487804283,0.00993303582072258,0.00042197146103717387,0.625,0.9995779991149902,0.015337423312883059
data/Potsdam/img_dir/val/2_13_1024_2560_1536_3072.png,0.999971866607666,0,1.0,A_vs_B,1.21875,0.19696969696966513,77.0,0.35813953488371925,0.015625,0.00444444444444318,0.01145833358168602,0.00018084490147884935,0.5,0.9998191595077515,0.011494252873562953
data/Potsdam/img_dir/val/2_13_1024_2560_1536_3072.png,0.9999778866767883,0,1.0,A_vs_C,0.828125,0.13383838383836222,58.125,0.2703488372093011,0.00390625,0.001111111111110795,0.014423076994717121,0.00015673224697820842,0.5,0.9998432397842407,0.011494252873562953
data/Potsdam/img_dir/val/2_13_1024_3072_1536_3584.png,0.999975860118866,0,1.0,A_vs_B,0.90625,0.14146341463412426,96.25,0.3701923076923062,0.0078125,0.002538071065989023,0.02604166604578495,3.616898175096139e-05,0.375,0.9999638199806213,0.008571428571428376
data/Potsdam/img_dir/val/2_13_1024_3072_1536_3584.png,0.9999638199806213,0,1.0,A_vs_C,1.671875,0.2609756097560568,97.5,0.3749999999999985,0.0,0.0,0.02187499962747097,6.028163625160232e-05,0.4375,0.9999397397041321,0.009999999999999771
data/Potsdam/img_dir/val/2_13_1024_3584_1536_4096.png,0.9998231530189514,0,1.0,A_vs_B,3.5400390625,0.5900065104165684,36.25,0.19489247311827854,0.01171875,0.002988047808764178,0.01807892695069313,0.0004701967700384557,0.5,0.9995297789573669,0.01092896174863364
data/Potsdam/img_dir/val/2_13_1024_3584_1536_4096.png,0.9998733997344971,0,1.0,A_vs_C,0.703125,0.11718749999998047,35.75,0.19220430107526779,0.015625,0.003984063745018905,0.009527439251542091,0.0004943094099871814,0.5,0.9995056986808777,0.01092896174863364
data/Potsdam/img_dir/val/2_13_1024_4096_1536_4608.png,0.9999316930770874,0,1.0,A_vs_B,2.171875,0.36010362694294545,68.0,0.3035714285714272,0.01171875,0.0028625954198466287,0.010402134619653225,0.000675154326017946,0.4375,0.9993248581886292,0.010670731707316812
data/Potsdam/img_dir/val/2_13_1024_4096_1536_4608.png,0.9999417066574097,0,1.0,A_vs_C,2.15625,0.35751295336781636,68.0,0.3035714285714272,0.0,0.0,0.00896344892680645,0.0008439429220743477,0.5,0.9991560578346252,0.012195121951219214
